,Lon,Lat,Index
33,170.0,66.580645,0
32,150.0,66.580645,1
31,130.0,66.580645,2
28,110.0,66.580645,3
27,90.0,66.580645,4
26,70.0,66.580645,5
19,50.0,66.580645,6
18,30.0,66.580645,7
16,30.0,55.741935,8
30,130.0,55.741935,9
25,110.0,55.741935,10
24,90.0,55.741935,11
23,70.0,55.741935,12
17,50.0,55.741935,13
14,30.0,44.903226,14
15,50.0,44.903226,15
13,10.0,44.903226,16
29,130.0,44.903226,17
20,70.0,44.903226,18
21,90.0,44.903226,19
22,110.0,44.903226,20
4,46.666667,34.064516,21
5,60.0,34.064516,22
6,73.333333,34.064516,23
0,33.333333,34.064516,24
10,86.666667,34.064516,25
11,100.0,34.064516,26
12,113.333333,34.064516,27
8,86.666667,23.225806,28
3,73.333333,23.225806,29
2,46.666667,23.225806,30
9,100.0,23.225806,31
7,100.0,12.387097,32
1,73.333333,12.387097,33
