Lon,Lat
41.538462,18.531452
50.769231,18.531452
41.538462,26.240591
50.769231,26.240591
78.461538,10.822312
78.461538,18.531452
60,26.240591
69.230769,26.240591
78.461538,26.240591
96.923077,18.531452
106.153846,18.531452
87.692308,26.240591
96.923077,26.240591
106.153846,26.240591
18,41.658871
30,41.658871
6,49.368011
18,49.368011
30,49.368011
42,33.949731
54,33.949731
66,33.949731
42,41.658871
54,41.658871
66,41.658871
42,49.368011
54,49.368011
66,49.368011
78,33.949731
90,33.949731
102,33.949731
78,41.658871
90,41.658871
102,41.658871
78,49.368011
90,49.368011
102,49.368011
114,33.949731
114,41.658871
126,41.658871
114,49.368011
126,49.368011
138,49.368011
354,41.658871
30,57.077151
50,57.077151
10,64.78629
30,64.78629
50,64.78629
70,57.077151
90,57.077151
110,57.077151
70,64.78629
90,64.78629
110,64.78629
70,72.49543
90,72.49543
110,72.49543
130,57.077151
130,64.78629
150,64.78629
170,64.78629
130,72.49543
150,72.49543
170,72.49543
