Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost
614.0,91.0,101.0,23.0,9.0,5.0,0.0,30.0,195482451.1381816
576.0,89.0,41.0,1.0,6.0,5.0,0.0,30.0,194682970.443481
597.0,84.0,60.0,11.0,7.0,5.0,0.0,30.0,194949464.0083812
592.0,83.0,115.0,29.0,8.0,5.0,0.0,30.0,195215957.5732814
601.0,86.0,79.0,2.0,6.0,5.0,0.0,30.0,194682970.443481
627.0,83.0,133.0,10.0,9.0,5.0,0.0,30.0,195482451.1381816
601.0,89.0,93.0,18.0,6.0,5.0,0.0,30.0,194682970.443481
596.0,86.0,78.0,4.0,5.0,5.0,0.0,30.0,194416476.8785808
581.0,88.0,47.0,13.0,11.0,5.0,0.0,30.0,196015438.267982
628.0,95.0,149.0,0.0,9.0,5.0,0.0,30.0,195482451.1381816
596.0,88.0,100.0,17.0,7.0,5.0,0.0,30.0,194949464.0083812
582.0,90.0,83.0,11.0,11.0,5.0,0.0,30.0,196015438.267982
579.0,91.0,64.0,16.0,6.0,5.0,0.0,30.0,194682970.443481
594.0,95.0,37.0,26.0,7.0,5.0,0.0,30.0,194949464.0083812
578.0,87.0,123.0,28.0,6.0,5.0,0.0,30.0,194682970.443481
578.0,96.0,125.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
598.0,89.0,105.0,7.0,10.0,5.0,0.0,30.0,195748944.70308185
598.0,90.0,139.0,25.0,6.0,5.0,0.0,30.0,194682970.443481
589.0,98.0,34.0,15.0,10.0,5.0,0.0,30.0,195748944.70308185
624.0,94.0,66.0,1.0,7.0,5.0,100.0,18.05743079482016,194949464.0083812
603.0,99.0,103.0,22.0,9.0,5.0,0.0,30.0,195482451.1381816
609.0,85.0,73.0,2.0,9.0,5.0,0.0,30.0,195482451.1381816
619.0,87.0,69.0,5.0,7.0,5.0,0.0,30.0,194949464.0083812
590.0,87.0,81.0,23.0,9.0,5.0,0.0,30.0,195482451.1381816
625.0,89.0,52.0,27.0,7.0,5.0,0.0,30.0,194949464.0083812
613.0,94.0,59.0,6.0,6.0,5.0,0.0,30.0,194682970.443481
576.0,89.0,79.0,1.0,6.0,5.0,0.0,30.0,194682970.443481
601.0,86.0,41.0,2.0,6.0,5.0,0.0,30.0,194682970.443481
615.0,87.0,64.0,29.0,11.0,5.0,0.0,30.0,196015438.267982
582.0,87.0,99.0,16.0,12.0,5.0,0.0,30.0,196281931.8328822
598.0,87.0,123.0,25.0,6.0,5.0,0.0,30.0,194682970.443481
578.0,90.0,139.0,28.0,6.0,5.0,0.0,30.0,194682970.443481
596.0,82.0,60.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
605.0,87.0,134.0,27.0,5.0,5.0,0.0,30.0,194416476.8785808
630.0,85.0,52.0,12.0,8.0,5.0,0.0,30.0,195215957.5732814
592.0,89.0,115.0,27.0,7.0,5.0,0.0,30.0,194949464.0083812
578.0,91.0,101.0,23.0,9.0,5.0,0.0,30.0,195482451.1381816
614.0,96.0,125.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
627.0,95.0,149.0,10.0,9.0,5.0,100.0,16.059023555502762,195482451.1381816
628.0,83.0,133.0,0.0,9.0,5.0,0.0,30.0,195482451.1381816
588.0,90.0,85.0,2.0,8.0,5.0,100.0,19.46790320925885,195215957.5732814
620.0,97.0,81.0,1.0,8.0,5.0,0.0,30.0,195215957.5732814
598.0,87.0,105.0,7.0,9.0,5.0,0.0,30.0,195482451.1381816
581.0,88.0,34.0,13.0,11.0,5.0,0.0,30.0,196015438.267982
615.0,98.0,61.0,22.0,8.0,5.0,0.0,30.0,195215957.5732814
588.0,90.0,149.0,2.0,8.0,5.0,0.0,30.0,195215957.5732814
627.0,95.0,85.0,10.0,9.0,5.0,100.0,16.570647256603934,195482451.1381816
619.0,81.0,139.0,13.0,6.0,5.0,0.0,30.0,194682970.443481
613.0,89.0,79.0,1.0,6.0,5.0,100.0,21.59207799363478,194682970.443481
608.0,83.0,108.0,14.0,6.0,5.0,0.0,30.0,194682970.443481
601.0,87.0,123.0,25.0,6.0,5.0,0.0,30.0,194682970.443481
619.0,96.0,139.0,28.0,8.0,5.0,0.0,30.0,195215957.5732814
594.0,95.0,115.0,27.0,7.0,5.0,0.0,30.0,194949464.0083812
592.0,89.0,37.0,26.0,7.0,5.0,0.0,30.0,194949464.0083812
596.0,82.0,52.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
608.0,96.0,60.0,21.0,8.0,5.0,0.0,30.0,195215957.5732814
614.0,96.0,90.0,27.0,9.0,5.0,0.0,30.0,195482451.1381816
627.0,88.0,33.0,8.0,7.0,5.0,0.0,30.0,194949464.0083812
615.0,91.0,61.0,22.0,8.0,5.0,0.0,30.0,195215957.5732814
580.0,83.0,80.0,9.0,11.0,5.0,0.0,30.0,196015438.267982
615.0,87.0,64.0,29.0,9.0,5.0,0.0,30.0,195482451.1381816
578.0,87.0,110.0,28.0,7.0,5.0,0.0,30.0,194949464.0083812
581.0,88.0,83.0,13.0,11.0,5.0,0.0,30.0,196015438.267982
582.0,90.0,34.0,11.0,11.0,5.0,0.0,30.0,196015438.267982
585.0,95.0,74.0,10.0,6.0,5.0,0.0,30.0,194682970.443481
608.0,81.0,139.0,13.0,6.0,5.0,0.0,30.0,194682970.443481
619.0,83.0,108.0,14.0,6.0,5.0,0.0,30.0,194682970.443481
601.0,84.0,123.0,25.0,6.0,5.0,0.0,30.0,194682970.443481
576.0,94.0,84.0,11.0,10.0,5.0,0.0,30.0,195748944.70308185
614.0,88.0,120.0,27.0,12.0,5.0,0.0,30.0,196281931.8328822
594.0,89.0,37.0,26.0,7.0,5.0,0.0,30.0,194949464.0083812
622.0,100.0,98.0,24.0,9.0,5.0,0.0,30.0,195482451.1381816
578.0,88.0,110.0,8.0,7.0,5.0,0.0,30.0,194949464.0083812
588.0,90.0,139.0,28.0,8.0,5.0,0.0,30.0,195215957.5732814
582.0,80.0,118.0,22.0,8.0,5.0,0.0,30.0,195215957.5732814
615.0,97.0,61.0,22.0,8.0,5.0,0.0,30.0,195215957.5732814
592.0,84.0,96.0,12.0,8.0,5.0,0.0,30.0,195215957.5732814
614.0,85.0,73.0,2.0,9.0,5.0,0.0,30.0,195482451.1381816
609.0,96.0,90.0,27.0,9.0,5.0,0.0,30.0,195482451.1381816
586.0,94.0,33.0,30.0,10.0,5.0,0.0,30.0,195748944.70308185
580.0,83.0,64.0,29.0,11.0,5.0,0.0,30.0,196015438.267982
608.0,84.0,43.0,20.0,5.0,5.0,0.0,30.0,194416476.8785808
596.0,87.0,78.0,27.0,5.0,5.0,0.0,30.0,194416476.8785808
605.0,82.0,130.0,3.0,11.0,5.0,0.0,30.0,196015438.267982
608.0,89.0,79.0,1.0,5.0,5.0,0.0,30.0,194416476.8785808
613.0,84.0,43.0,20.0,6.0,5.0,0.0,30.0,194682970.443481
608.0,95.0,74.0,10.0,6.0,5.0,0.0,30.0,194682970.443481
599.0,87.0,118.0,20.0,5.0,5.0,0.0,30.0,194416476.8785808
607.0,86.0,32.0,8.0,5.0,5.0,0.0,30.0,194416476.8785808
584.0,98.0,76.0,11.0,7.0,5.0,0.0,30.0,194949464.0083812
582.0,80.0,139.0,28.0,8.0,5.0,0.0,30.0,195215957.5732814
588.0,90.0,118.0,22.0,8.0,5.0,0.0,30.0,195215957.5732814
608.0,82.0,52.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
593.0,85.0,60.0,7.0,8.0,5.0,0.0,30.0,195215957.5732814
592.0,97.0,96.0,12.0,8.0,5.0,0.0,30.0,195215957.5732814
585.0,100.0,114.0,22.0,11.0,5.0,0.0,30.0,196015438.267982
622.0,100.0,73.0,24.0,9.0,5.0,0.0,30.0,195482451.1381816
614.0,85.0,98.0,2.0,9.0,5.0,0.0,30.0,195482451.1381816
609.0,94.0,84.0,27.0,9.0,5.0,0.0,30.0,195482451.1381816
576.0,96.0,90.0,11.0,10.0,5.0,0.0,30.0,195748944.70308185
580.0,94.0,33.0,30.0,11.0,5.0,0.0,30.0,196015438.267982
586.0,83.0,64.0,29.0,10.0,5.0,0.0,30.0,195748944.70308185
582.0,98.0,150.0,10.0,6.0,5.0,0.0,30.0,194682970.443481
608.0,89.0,78.0,27.0,5.0,5.0,0.0,30.0,194416476.8785808
596.0,87.0,79.0,1.0,5.0,5.0,0.0,30.0,194416476.8785808
599.0,94.0,141.0,21.0,7.0,5.0,0.0,30.0,194949464.0083812
607.0,87.0,32.0,8.0,5.0,5.0,0.0,30.0,194416476.8785808
608.0,95.0,43.0,10.0,6.0,5.0,0.0,30.0,194682970.443481
613.0,84.0,74.0,20.0,6.0,5.0,0.0,30.0,194682970.443481
590.0,86.0,113.0,27.0,11.0,5.0,0.0,30.0,196015438.267982
582.0,86.0,83.0,12.0,5.0,5.0,0.0,30.0,194416476.8785808
593.0,82.0,60.0,7.0,8.0,5.0,0.0,30.0,195215957.5732814
608.0,85.0,52.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
604.0,97.0,96.0,30.0,6.0,5.0,0.0,30.0,194682970.443481
622.0,86.0,100.0,19.0,9.0,5.0,0.0,30.0,195482451.1381816
614.0,85.0,84.0,2.0,9.0,5.0,0.0,30.0,195482451.1381816
609.0,94.0,98.0,27.0,9.0,5.0,0.0,30.0,195482451.1381816
576.0,96.0,90.0,29.0,10.0,5.0,100.0,14.895531888877702,195748944.70308185
586.0,83.0,64.0,11.0,10.0,5.0,0.0,30.0,195748944.70308185
580.0,100.0,137.0,0.0,11.0,5.0,0.0,30.0,196015438.267982
580.0,88.0,33.0,13.0,11.0,5.0,0.0,30.0,196015438.267982
581.0,94.0,83.0,30.0,11.0,5.0,0.0,30.0,196015438.267982
602.0,80.0,31.0,8.0,8.0,5.0,0.0,30.0,195215957.5732814
608.0,87.0,78.0,27.0,5.0,5.0,0.0,30.0,194416476.8785808
582.0,86.0,32.0,12.0,5.0,5.0,0.0,30.0,194416476.8785808
607.0,87.0,83.0,8.0,5.0,5.0,0.0,30.0,194416476.8785808
576.0,91.0,90.0,29.0,10.0,5.0,0.0,30.0,195748944.70308185
619.0,97.0,108.0,30.0,6.0,5.0,0.0,30.0,194682970.443481
597.0,83.0,111.0,3.0,6.0,5.0,0.0,30.0,194682970.443481
600.0,95.0,110.0,8.0,11.0,5.0,100.0,15.412305494666086,196015438.267982
591.0,82.0,85.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
593.0,82.0,60.0,22.0,8.0,5.0,0.0,30.0,195215957.5732814
588.0,90.0,118.0,7.0,8.0,5.0,0.0,30.0,195215957.5732814
609.0,94.0,84.0,2.0,9.0,5.0,100.0,15.847102716892884,195482451.1381816
596.0,85.0,128.0,28.0,9.0,5.0,0.0,30.0,195482451.1381816
590.0,86.0,64.0,11.0,10.0,5.0,0.0,30.0,195748944.70308185
586.0,83.0,113.0,27.0,11.0,5.0,0.0,30.0,196015438.267982
605.0,100.0,137.0,3.0,11.0,5.0,0.0,30.0,196015438.267982
629.0,81.0,38.0,14.0,11.0,5.0,0.0,30.0,196015438.267982
580.0,82.0,46.0,27.0,8.0,5.0,0.0,30.0,195215957.5732814
585.0,93.0,83.0,28.0,9.0,5.0,0.0,30.0,195482451.1381816
582.0,90.0,110.0,21.0,12.0,5.0,100.0,16.63870395633817,196281931.8328822
608.0,94.0,84.0,2.0,9.0,5.0,100.0,15.232064051082526,195482451.1381816
609.0,95.0,43.0,10.0,6.0,5.0,0.0,30.0,194682970.443481
597.0,97.0,111.0,30.0,6.0,5.0,0.0,30.0,194682970.443481
627.0,80.0,74.0,3.0,12.0,5.0,0.0,30.0,196281931.8328822
610.0,82.0,31.0,0.0,9.0,5.0,0.0,30.0,195482451.1381816
591.0,80.0,85.0,0.0,8.0,5.0,0.0,30.0,195215957.5732814
607.0,93.0,41.0,10.0,7.0,5.0,100.0,18.810690259641767,194949464.0083812
622.0,85.0,128.0,19.0,9.0,5.0,0.0,30.0,195482451.1381816
596.0,86.0,100.0,28.0,9.0,5.0,0.0,30.0,195482451.1381816
606.0,91.0,144.0,11.0,8.0,5.0,0.0,30.0,195215957.5732814
590.0,86.0,90.0,29.0,10.0,5.0,0.0,30.0,195748944.70308185
586.0,100.0,113.0,3.0,11.0,5.0,0.0,30.0,196015438.267982
605.0,83.0,137.0,5.0,6.0,5.0,0.0,30.0,194682970.443481
581.0,81.0,83.0,30.0,11.0,5.0,0.0,30.0,196015438.267982
629.0,94.0,38.0,14.0,11.0,5.0,0.0,30.0,196015438.267982
607.0,95.0,100.0,7.0,10.0,6.0,0.0,30.0,207748944.70308185
594.0,87.0,72.0,26.0,8.0,6.0,0.0,30.0,207215957.57328144
589.0,88.0,108.0,10.0,7.0,6.0,100.0,21.728100635906543,206949464.0083812
577.0,85.0,65.0,24.0,11.0,6.0,0.0,30.0,208015438.267982
588.0,91.0,92.0,9.0,8.0,6.0,0.0,30.0,207215957.57328144
589.0,90.0,142.0,26.0,10.0,6.0,100.0,16.567682752009823,207748944.70308185
616.0,92.0,124.0,6.0,8.0,6.0,100.0,16.41661213520236,207215957.57328144
588.0,98.0,118.0,0.0,10.0,6.0,0.0,30.0,207748944.70308185
577.0,88.0,115.0,25.0,6.0,6.0,0.0,30.0,206682970.443481
616.0,81.0,134.0,13.0,8.0,6.0,0.0,30.0,207215957.57328144
595.0,89.0,115.0,9.0,6.0,6.0,0.0,30.0,206682970.443481
579.0,91.0,42.0,9.0,8.0,6.0,0.0,30.0,207215957.57328144
594.0,93.0,101.0,17.0,11.0,6.0,0.0,30.0,208015438.267982
629.0,88.0,137.0,11.0,10.0,6.0,0.0,30.0,207748944.70308185
582.0,94.0,44.0,18.0,11.0,6.0,0.0,30.0,208015438.267982
575.0,81.0,114.0,5.0,7.0,6.0,0.0,30.0,206949464.0083812
608.0,98.0,112.0,25.0,11.0,6.0,0.0,30.0,208015438.267982
608.0,87.0,63.0,14.0,8.0,6.0,0.0,30.0,207215957.57328144
600.0,96.0,129.0,11.0,10.0,6.0,100.0,12.694449781536775,207748944.70308185
612.0,83.0,47.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
621.0,82.0,69.0,14.0,11.0,6.0,0.0,30.0,208015438.267982
616.0,87.0,42.0,23.0,10.0,6.0,0.0,30.0,207748944.70308185
601.0,95.0,127.0,2.0,7.0,6.0,0.0,30.0,206949464.0083812
578.0,99.0,72.0,24.0,7.0,6.0,0.0,30.0,206949464.0083812
626.0,85.0,130.0,18.0,9.0,6.0,0.0,30.0,207482451.1381816
600.0,94.0,107.0,11.0,7.0,6.0,100.0,17.90899852569116,206949464.0083812
575.0,96.0,129.0,5.0,10.0,6.0,0.0,30.0,207748944.70308185
578.0,99.0,127.0,24.0,7.0,6.0,0.0,30.0,206949464.0083812
601.0,95.0,72.0,2.0,7.0,6.0,100.0,18.048146732080003,206949464.0083812
589.0,90.0,142.0,26.0,8.0,6.0,100.0,19.55493597527141,207215957.57328144
594.0,83.0,120.0,3.0,9.0,6.0,0.0,30.0,207482451.1381816
581.0,88.0,74.0,24.0,9.0,6.0,0.0,30.0,207482451.1381816
625.0,91.0,135.0,26.0,10.0,6.0,0.0,30.0,207748944.70308185
607.0,85.0,100.0,7.0,9.0,6.0,0.0,30.0,207482451.1381816
579.0,90.0,72.0,6.0,12.0,6.0,100.0,14.171302006009988,208281931.8328822
595.0,98.0,118.0,9.0,12.0,6.0,0.0,30.0,208281931.8328822
616.0,85.0,42.0,24.0,10.0,6.0,0.0,30.0,207748944.70308185
577.0,87.0,65.0,23.0,11.0,6.0,0.0,30.0,208015438.267982
621.0,93.0,101.0,14.0,11.0,6.0,0.0,30.0,208015438.267982
594.0,82.0,69.0,17.0,11.0,6.0,0.0,30.0,208015438.267982
582.0,94.0,112.0,18.0,11.0,6.0,0.0,30.0,208015438.267982
608.0,98.0,44.0,25.0,11.0,6.0,0.0,30.0,208015438.267982
621.0,88.0,115.0,10.0,6.0,6.0,0.0,30.0,206682970.443481
583.0,81.0,106.0,9.0,10.0,6.0,0.0,30.0,207748944.70308185
601.0,82.0,54.0,4.0,7.0,6.0,0.0,30.0,206949464.0083812
616.0,90.0,30.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
579.0,91.0,127.0,24.0,7.0,6.0,0.0,30.0,206949464.0083812
578.0,99.0,42.0,9.0,8.0,6.0,0.0,30.0,207215957.57328144
608.0,81.0,88.0,8.0,9.0,6.0,0.0,30.0,207482451.1381816
607.0,88.0,100.0,7.0,9.0,6.0,0.0,30.0,207482451.1381816
581.0,85.0,74.0,24.0,9.0,6.0,0.0,30.0,207482451.1381816
599.0,91.0,135.0,11.0,9.0,6.0,100.0,14.321264475779136,207482451.1381816
625.0,92.0,54.0,1.0,9.0,6.0,0.0,30.0,207482451.1381816
616.0,88.0,137.0,24.0,10.0,6.0,0.0,30.0,207748944.70308185
629.0,85.0,42.0,11.0,10.0,6.0,0.0,30.0,207748944.70308185
587.0,86.0,135.0,15.0,8.0,6.0,0.0,30.0,207215957.57328144
617.0,89.0,36.0,14.0,9.0,6.0,0.0,30.0,207482451.1381816
591.0,91.0,140.0,18.0,8.0,6.0,0.0,30.0,207215957.57328144
582.0,82.0,112.0,17.0,11.0,6.0,0.0,30.0,208015438.267982
612.0,83.0,44.0,25.0,11.0,6.0,0.0,30.0,208015438.267982
608.0,98.0,47.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
584.0,89.0,127.0,11.0,10.0,6.0,0.0,30.0,207748944.70308185
630.0,93.0,115.0,27.0,6.0,6.0,0.0,30.0,206682970.443481
579.0,90.0,124.0,6.0,12.0,6.0,100.0,13.894366763397668,208281931.8328822
576.0,92.0,120.0,13.0,10.0,6.0,0.0,30.0,207748944.70308185
578.0,86.0,42.0,15.0,8.0,6.0,0.0,30.0,207215957.57328144
607.0,99.0,139.0,22.0,10.0,6.0,0.0,30.0,207748944.70308185
595.0,86.0,118.0,20.0,7.0,6.0,0.0,30.0,206949464.0083812
607.0,88.0,120.0,3.0,9.0,6.0,0.0,30.0,207482451.1381816
581.0,85.0,54.0,24.0,9.0,6.0,0.0,30.0,207482451.1381816
625.0,92.0,74.0,1.0,9.0,6.0,0.0,30.0,207482451.1381816
