Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost
598.0,95.0,115.0,15.0,5.0,5.0,100.0 %,24.68,243.22421197
616.0,96.0,61.0,23.0,6.0,4.0,100.0 %,20.69,246.60732889
622.0,96.0,31.0,6.0,7.0,4.0,100.0 %,18.1,258.60732888999996
624.0,94.0,66.0,1.0,7.0,5.0,100.0 %,18.06,267.22421197
576.0,94.0,47.0,6.0,8.0,4.0,100.0 %,17.79,270.60732888999996
628.0,96.0,72.0,21.0,9.0,3.0,100.0 %,16.31,273.52761359
628.0,96.0,75.0,21.0,9.0,5.0,100.0 %,14.27,291.22421197000006
596.0,97.0,138.0,4.0,10.0,5.0,100.0 %,13.68,303.22421197000006
600.0,96.0,129.0,11.0,10.0,6.0,100.0 %,12.69,311.48050217
603.0,97.0,71.0,17.0,10.0,7.0,100.0 %,12.37,319.44371372
623.0,96.0,40.0,13.0,11.0,6.0,100.0 %,11.39,323.48050217
611.0,96.0,109.0,19.0,11.0,8.0,100.0 %,11.35,339.16147173
585.0,94.0,75.0,14.0,12.0,7.0,100.0 %,11.27,343.44371372
598.0,96.0,104.0,5.0,11.0,9.0,100.0 %,11.1,346.66901194999997
601.0,97.0,55.0,19.0,12.0,8.0,100.0 %,10.32,351.16147173
599.0,97.0,76.0,29.0,12.0,12.0,100.0 %,10.16,380.17369843
