Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Planes,Avg_Percentage,Std_Percentage,Avg_Time,Std_Time,
0,0,604,69,160,39,89.93827160493827,18.72336841058784,3.791722198672041,8.840630259972869,
0,1,615,116,179,40,84.94301994301995,27.217494593911468,5.192062768646934,10.500056318672826,
0,2,601,122,131,43,77.09401709401709,35.18828780857857,7.341474581074146,12.390591531448223,
0,3,611,69,172,25,89.93827160493827,18.72336841058784,4.028390214263264,8.763583278829257,
0,4,581,75,13,8,96.06362773029439,3.645888882378094,2.535366734102133,6.016186788033565,
0,5,596,93,67,31,99.61538461538461,0.538763772872948,2.6253987753412455,4.127797578278604,
0,6,598,98,137,32,99.88603988603988,0.35735779149528596,0.7390583806274926,1.4154763906364811,
0,7,584,114,45,20,89.14529914529915,23.40297027290669,4.6812207621928845,9.053035885770543,
0,8,615,97,337,1,98.84615384615383,1.4026979685092955,4.952220094480695,6.680099688343169,
0,9,598,70,114,35,91.0493827160494,16.774998774060155,3.216439082201109,8.435718302586146,
0,10,576,106,93,41,97.93922127255462,5.103224302433541,1.6009516146194422,4.351552415577198,
0,11,598,130,78,46,63.07692307692308,39.07410667596856,13.054736248275404,13.47599872315244,
0,12,589,84,82,16,95.71225071225072,3.7368425167532107,2.999404976564321,7.067356567649103,
0,13,589,98,160,49,99.88603988603988,0.35735779149528596,1.9512550393001826,2.2417021997449873,
0,14,597,50,94,20,62.81101614434947,38.7356272041591,12.967046729511516,13.453750394414502,
1,0,596,84,82,16,2,98.18613485280152,1.3797660630403927,2.7998221620564703,5.201880953144059,
1,1,626,89,149,11,4,99.81956315289649,0.49291317273925933,1.549705474360063,2.8285944223200503,
1,2,598,98,160,32,7,99.88603988603988,0.35735779149528596,0.720864201837341,1.4325323530361815,
1,3,589,98,137,49,4,99.88603988603988,0.35735779149528596,2.0056847631849264,2.2574248601998104,
1,4,589,98,160,49,4,99.88603988603988,0.35735779149528596,1.9512550393001826,2.2417021997449873,
1,5,598,124,77,27,4,72.99620132953468,37.323407102990465,8.87397443351157,12.895460253100428,
1,6,603,54,144,8,7,68.49477682811018,37.91818666260316,10.166462908168528,13.517028958803344,
1,7,598,75,137,32,4,95.99715099715097,3.816718757787554,2.1854064737820837,5.840265139419555,
1,8,596,93,67,31,7,100.0,0.0,0.8729454423436762,1.6030355113209462,
1,9,598,98,137,32,2,99.02659069325736,1.0417165500781713,2.8135033724302505,5.086347239580417,
1,10,598,75,13,8,7,96.06362773029439,3.645888882378094,2.09013493086322,5.783401869996864,
1,11,581,98,137,48,4,99.88603988603988,0.35735779149528596,2.8891757159087645,3.0421437091444528,
1,12,612,48,47,32,7,56.695156695156705,39.8994008282595,13.225454422463923,14.671182020296117,
