Gen,Pop,Alt,Inc,Aop,Initial_Raan,Delta_Raan,Num_Planes,Avg_Percentage,Std_Percentage,Avg_Time,Std_Time,
0,0,599,88,95,135,28,6,4.8559670781893,5.722754542904396,0.04015519610703667,0.007084053011426023,
0,1,575,136,34,153,50,3,0.2674897119341564,0.7715363481173944,0.04155886709862334,0.0020825875597327037,
0,2,622,129,127,64,22,5,0.0,0.0,0.041666666666666664,0.0,
0,3,625,160,12,48,0,7,0.0,0.0,0.041666666666666664,0.0,
0,4,610,126,61,77,49,5,4.279835390946501,2.666653965320562,0.04028026911552707,0.00670449767497437,
0,5,586,87,113,339,8,4,2.5308641975308643,5.208891526253602,0.04135375065511935,0.002639039491861244,
0,6,621,83,45,75,0,7,1.5432098765432098,2.111435972405811,0.041195916797957824,0.004046809731624247,
0,7,606,159,69,157,23,7,0.0823045267489712,0.30795534047522144,0.04165135511710532,0.0005338346425694425,
0,8,626,82,134,67,35,5,8.415637860082304,5.60162275111865,0.0400189091700567,0.0064855057992748546,
0,9,584,121,144,153,49,1,0.0,0.0,0.041666666666666664,0.0,
0,10,614,25,21,113,5,7,6.337448559670781,12.225685726715897,0.03947929318097177,0.008526106726907299,
0,11,579,101,5,166,36,8,16.440329218107,5.266203546681939,0.03699510212898813,0.010983846376050571,
0,12,600,6,25,46,48,4,0.9876543209876544,2.518034327700141,0.041362030095914264,0.0032197594806812023,
0,13,618,50,140,114,23,5,11.316872427983542,5.526520683260312,0.03962614880292529,0.006158944668570531,
0,14,621,107,94,49,39,1,0.0617283950617284,0.23096650535641614,0.041659827856285817,0.0002754331367499931,
0,15,596,172,129,114,25,2,0.102880658436214,0.3849441755940268,0.04162599759178029,0.0012676132366960064,
0,16,615,24,118,128,8,7,2.4691358024691357,2.4562420547969803,0.04116820107277999,0.003624570382774722,
0,17,577,151,117,78,45,8,2.695473251028806,3.7386327343947454,0.04064544948659579,0.006158765333936398,
0,18,597,176,117,129,11,5,0.3292181069958848,0.839344775900047,0.041576901032262664,0.0017295568030098077,
0,19,618,42,55,161,25,6,13.744855967078191,11.857030475833959,0.036949397547155004,0.012192046925293845,
0,20,595,89,123,104,38,2,4.670781893004116,5.387096919762681,0.040246141192167864,0.0068298070058505096,
0,21,592,120,129,118,26,5,0.24691358024691354,0.6395172949761337,0.04159355320749851,0.001622216788373476,
0,22,597,179,157,23,47,4,0.411522633744856,1.0491809698750585,0.041506898421621544,0.00248933838652955,
0,23,621,123,15,157,8,4,0.0,0.0,0.041666666666666664,0.0,
0,24,581,153,74,109,20,1,0.0,0.0,0.041666666666666664,0.0,
1,0,618,50,140,166,36,8,2.1810699588477367,3.1099242189150744,0.04085888624158211,0.005593616659119735,
1,1,579,101,5,114,23,5,4.814814814814815,4.733136476733161,0.0401453982529821,0.006943707454974679,
1,2,579,101,134,166,36,8,2.860082304526749,2.7339167880992115,0.04055587852141487,0.006529406035740007,
1,3,626,82,5,67,35,5,14.05349794238683,4.317851105388061,0.0378618335695111,0.009999390931184873,
1,4,579,101,5,166,36,8,16.440329218107,5.266203546681939,0.03699510212898813,0.010983846376050571,
1,5,614,101,179,2,40,4,6.131687242798354,3.81330737637404,0.04001233412436403,0.006779513505031292,
1,6,618,42,55,166,36,8,13.209876543209882,9.238797693296457,0.03722456575632477,0.011581022471349128,
1,7,579,101,5,161,25,6,8.847736625514404,5.251954328436304,0.03882634371839977,0.00930502975350874,
1,8,596,101,58,166,45,4,7.181069958847735,5.597086043864679,0.04008795555541182,0.0067826806639641555,
1,9,601,177,5,89,36,8,0.7407407407407407,1.888525745775105,0.04139979613788657,0.0031215055945074026,
1,10,618,50,140,114,23,5,11.316872427983542,5.526520683260312,0.03962614880292529,0.006158944668570531,
1,11,626,101,5,166,13,8,7.736625514403292,8.51573481882094,0.03909416196150817,0.009018812258724924,
1,12,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
1,13,618,50,140,161,23,5,11.316872427983542,5.526520683260312,0.03962614880292529,0.006158944668570531,
1,14,579,101,5,166,36,8,16.440329218107,5.266203546681939,0.03699510212898813,0.010983846376050571,
1,15,579,95,5,166,5,8,1.831275720164609,3.426651883686923,0.0410682981476815,0.004426296047555458,
1,16,618,50,140,161,25,6,8.971193415637861,4.048533652495586,0.03992074398865345,0.005994299657080194,
1,17,618,42,55,114,23,5,14.259259259259261,12.60892187448089,0.0369372761450252,0.012134817788558107,
1,18,579,101,140,114,23,5,1.0699588477366255,2.47136387812689,0.04148057673273546,0.002138857632925109,
1,19,593,107,14,166,38,8,17.160493827160494,5.801374557472042,0.03660043836589318,0.011548836962063788,
1,20,618,169,140,3,28,5,0.30864197530864196,0.8048398031114381,0.04159460902604543,0.0015512884764776866,
1,21,579,50,5,114,36,8,17.551440329218106,5.884054173404157,0.03692373578562562,0.01068597956644971,
1,22,618,42,55,161,25,6,13.744855967078191,11.857030475833959,0.036949397547155004,0.012192046925293845,
1,23,618,50,140,114,23,5,11.316872427983542,5.526520683260312,0.03962614880292529,0.006158944668570531,
1,24,614,25,21,113,5,7,6.337448559670781,12.225685726715897,0.03947929318097177,0.008526106726907299,
2,0,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
2,1,611,50,26,47,36,6,17.716049382716047,7.472960963171137,0.03671588818636195,0.011579281457846646,
2,2,618,42,55,161,25,6,13.744855967078191,11.857030475833959,0.036949397547155004,0.012192046925293845,
2,3,579,50,5,114,36,8,17.551440329218106,5.884054173404157,0.03692373578562562,0.01068597956644971,
2,4,579,50,5,114,36,8,17.551440329218106,5.884054173404157,0.03692373578562562,0.01068597956644971,
2,5,588,8,19,60,22,6,1.2345679012345678,3.1495599190661614,0.04121928269849005,0.004029005108516412,
2,6,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
2,7,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
2,8,611,42,26,114,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
2,9,579,50,5,47,31,8,17.90123456790123,6.448574114763711,0.03663649954898172,0.011154717997951615,
2,10,579,50,5,136,9,6,16.27572016460905,10.430982643355962,0.036814601171481214,0.011258694938489912,
2,11,611,42,26,114,36,8,14.958847736625517,10.825000996843025,0.03716662672411928,0.011025158243592355,
2,12,593,107,14,166,38,8,17.160493827160494,5.801374557472042,0.03660043836589318,0.011548836962063788,
2,13,579,50,5,114,36,8,17.551440329218106,5.884054173404157,0.03692373578562562,0.01068597956644971,
2,14,579,50,5,114,36,8,17.551440329218106,5.884054173404157,0.03692373578562562,0.01068597956644971,
2,15,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
2,16,593,107,14,166,38,8,17.160493827160494,5.801374557472042,0.03660043836589318,0.011548836962063788,
2,17,618,42,55,114,23,5,14.259259259259261,12.60892187448089,0.0369372761450252,0.012134817788558107,
2,18,608,42,26,47,13,8,20.390946502057613,18.193815427566566,0.034904490121890265,0.013559996693989438,
2,19,579,50,5,114,36,6,16.893004115226336,5.866326954365159,0.0371685122978833,0.010577990270332696,
2,20,588,107,116,1,49,8,7.777777777777778,2.6745805447361186,0.03868022780772661,0.010310628095172523,
2,21,621,126,1,65,38,8,15.617283950617283,3.963456502990784,0.03737851882193895,0.010360597745738349,
2,22,626,82,5,67,35,5,14.05349794238683,4.317851105388061,0.0378618335695111,0.009999390931184873,
2,23,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
2,24,579,50,5,48,36,2,13.51851851851852,5.378051363460384,0.038309113011377446,0.009562363382655816,
3,0,611,42,26,22,36,6,15.946502057613172,12.360416443783512,0.037322188885775126,0.010895402547445782,
3,1,595,110,26,47,13,2,0.0411522633744856,0.15397767023761072,0.0416498738415731,0.0008276656603351511,
3,2,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
3,3,608,88,82,166,37,4,8.292181069958847,5.325443155117495,0.04031518269207185,0.0055737630119303844,
3,4,608,42,26,47,13,8,20.390946502057613,18.193815427566566,0.034904490121890265,0.013559996693989438,
3,5,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
3,6,611,42,114,96,13,8,3.9094650205761314,6.313889189797751,0.04009816043934008,0.0077833629617230955,
3,7,608,42,26,47,13,8,20.390946502057613,18.193815427566566,0.034904490121890265,0.013559996693989438,
3,8,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
3,9,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
3,10,608,42,26,47,13,8,20.390946502057613,18.193815427566566,0.034904490121890265,0.013559996693989438,
3,11,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
3,12,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
3,13,601,42,5,114,26,1,8.106995884773664,6.528310805920293,0.039309687022821886,0.008537967343948797,
3,14,611,50,26,114,36,6,17.716049382716047,7.472960963171137,0.03671588818636195,0.011579281457846646,
3,15,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
3,16,608,42,26,47,13,8,20.390946502057613,18.193815427566566,0.034904490121890265,0.013559996693989438,
3,17,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
3,18,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
3,19,611,42,26,47,13,6,17.94238683127572,15.91542172277766,0.035997926459053815,0.012623132017526304,
3,20,608,42,26,47,13,8,20.390946502057613,18.193815427566566,0.034904490121890265,0.013559996693989438,
3,21,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
3,22,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
3,23,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
3,24,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,0,576,9,63,30,7,3,0.9465020576131687,2.4157465220476,0.04137499021382094,0.003162532355524433,
4,1,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,2,576,59,155,96,30,6,10.987654320987653,5.08501119175777,0.03940454571157828,0.006841646667214501,
4,3,579,42,26,114,32,8,15.061728395061724,11.680756618977634,0.03702315355947325,0.011288411217700764,
4,4,579,42,123,114,12,8,1.6666666666666667,3.7965053975669547,0.04099408543324779,0.005169678201599017,
4,5,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,6,575,134,127,47,32,4,0.45267489711934156,1.1759038734345306,0.0415377915641815,0.0019203439382747243,
4,7,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
4,8,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,9,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,10,586,42,5,115,13,8,21.069958847736622,18.199748409852173,0.0353812883552733,0.012420833445042728,
4,11,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,12,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
4,13,579,42,26,114,13,6,17.572016460905346,15.994471855704669,0.03613992157509355,0.01249252559866025,
4,14,579,59,5,47,32,6,23.436213991769552,6.788689211289007,0.03530134223619472,0.012111052752676722,
4,15,576,42,26,114,13,8,19.897119341563783,18.03443654856106,0.035056280369659805,0.013453868358793615,
4,16,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,17,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
4,18,617,23,26,47,32,7,6.399176954732511,10.275795151439311,0.03967164149205465,0.007854277654061392,
4,19,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,20,579,42,91,114,42,8,7.716049382716048,4.639906289621268,0.038834637653657224,0.009856509775876633,
4,21,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
4,22,612,130,5,59,32,4,2.57201646090535,4.584369528109835,0.04085919126404919,0.005278737577068166,
4,23,579,42,26,47,13,6,17.572016460905346,15.994471855704669,0.03613992157509355,0.01249252559866025,
4,24,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
5,0,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,1,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
5,2,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,3,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,4,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
5,5,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,6,576,59,5,50,32,4,20.699588477366255,5.710534570765977,0.036300049185290534,0.01143688050470735,
5,7,600,121,26,81,32,6,6.131687242798352,4.677892015819006,0.03949613065055429,0.008590780358065226,
5,8,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
5,9,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
5,10,621,59,115,114,45,6,15.08230452674897,4.53450513977056,0.038355804082920185,0.009145781610981044,
5,11,579,42,26,47,32,8,15.061728395061724,11.680756618977634,0.03702315355947325,0.011288411217700764,
5,12,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,13,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,14,614,24,107,6,32,6,4.979423868312758,6.576190917392682,0.04032338593430578,0.006481219219395102,
5,15,579,59,59,47,50,6,20.24691358024692,9.923883457938986,0.03653762529460821,0.011948701788874628,
5,16,586,42,26,115,13,2,13.106995884773662,11.916866999373761,0.03840495882814974,0.00930793047128881,
5,17,576,180,5,45,32,7,0.411522633744856,1.0491809698750585,0.04150606947748808,0.00250390749987843,
5,18,579,59,5,47,32,6,23.436213991769552,6.788689211289007,0.03530134223619472,0.012111052752676722,
5,19,579,42,5,114,13,8,20.967078189300405,18.08493324790122,0.03540460918792778,0.012409978652406834,
5,20,579,59,5,47,32,6,23.436213991769552,6.788689211289007,0.03530134223619472,0.012111052752676722,
5,21,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,22,579,59,5,47,32,6,23.436213991769552,6.788689211289007,0.03530134223619472,0.012111052752676722,
5,23,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
5,24,579,10,98,47,32,6,1.3786008230452675,3.5260310144068634,0.04121713429176613,0.003957721509771882,
