Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost
624,82,120,6,3,3,1.524216524,30,169883489.7
611,88,40,18,11,3,3.067426401,30,172015438.3
610,89,41,15,7,4,1.5337132,30,182949464
588,85,30,13,9,7,24.61063628,30,219482451.1
590,97,108,15,10,10,100,12.32687929,255748944.7
584,84,142,5,6,4,4.610636277,30,182682970.4
622,88,60,27,3,3,3.067426401,30,169883489.7
580,95,57,27,10,5,1.5337132,30,195748944.7
595,81,70,11,5,5,1.5337132,30,194416476.9
605,86,148,4,7,7,1.528964862,30,218949464
617,93,98,29,3,3,1.396011396,30,169883489.7
616,99,99,11,3,3,3.072174739,30,169883489.7
610,97,49,7,4,4,7.687559354,30,182149983.3
590,87,34,2,5,1,1.462488129,30,146416476.9
588,81,52,29,5,5,3.067426401,30,194416476.9
593,98,38,19,5,5,4.596391263,30,194416476.9
620,99,144,2,10,9,86.12535613,30,243748944.7
617,87,71,8,4,4,1.528964862,30,182149983.3
628,81,51,23,4,4,1.528964862,30,182149983.3
608,80,80,3,11,11,1.524216524,30,268015438.3
588,97,98,1,3,1,1.476733143,30,145883489.7
584,87,145,15,7,7,16.91358025,30,218949464
617,98,97,6,4,4,12.30294397,30,182149983.3
629,95,111,0,11,5,1.519468186,30,196015438.3
622,89,42,25,9,3,3.067426401,30,171482451.1
588,85,108,13,9,10,3.072174739,30,255482451.1
590,97,30,15,10,7,100,13.22658931,219748944.7
616,99,99,11,10,9,86.12535613,30,243748944.7
620,99,144,2,3,3,9.226020893,30,169883489.7
598,97,90,30,3,1,1.457739791,30,145883489.7
622,96,97,6,3,3,93.60873694,30,169883489.7
622,89,120,25,3,3,3.067426401,30,169883489.7
624,82,42,6,9,3,1.48622982,30,171482451.1
616,92,136,6,6,6,100,20.8704296,206682970.4
586,99,99,12,11,5,86.12535613,30,196015438.3
593,88,40,18,5,3,1.144349478,30,170416476.9
610,87,60,14,4,3,6.144349478,30,170149983.3
617,82,71,18,4,2,1.415004748,30,158149983.3
588,81,51,23,4,5,1.5337132,30,194149983.3
613,100,107,21,7,4,1.528964862,30,182949464
595,81,70,27,10,5,6.149097816,30,195748944.7
580,95,57,11,5,5,1.519468186,30,194416476.9
608,94,60,29,4,4,9.226020893,30,182149983.3
613,93,56,19,6,6,0,30,206682970.4
577,80,67,11,11,6,0,30,208015438.3
587,94,53,4,10,8,100,12.69384929,231748944.7
582,85,139,8,7,7,0,30,218949464
590,88,113,22,10,3,0,30,171748944.7
604,94,61,28,4,4,0,30,182149983.3
594,91,66,13,4,3,0,30,170149983.3
591,83,42,17,6,6,0,30,206682970.4
619,97,135,4,3,3,0,30,169883489.7
588,87,91,23,7,6,0,30,206949464
607,97,35,14,6,4,0,30,182682970.4
621,95,62,3,8,4,0,30,183215957.6
603,90,87,13,9,7,100,16.69031925,219482451.1
609,83,118,24,5,5,0,30,194416476.9
575,97,137,12,10,4,0,30,183748944.7
595,83,135,16,3,3,0,30,169883489.7
618,88,52,14,8,4,0,30,183215957.6
627,95,72,27,5,4,0,30,182416476.9
616,90,101,22,6,3,0,30,170682970.4
578,98,134,14,5,5,0,30,194416476.9
624,81,125,25,9,4,0,30,183482451.1
624,83,102,20,5,5,0,30,194416476.9
604,90,52,1,8,8,0,30,231215957.6
600,95,93,20,3,3,0,30,169883489.7
625,85,93,24,11,7,0,30,220015438.3
619,97,80,9,9,3,0,30,171482451.1
622,90,50,13,11,7,100,12.60441249,220015438.3
594,96,89,11,11,10,100,11.27965262,256015438.3
627,95,61,28,4,4,0,30,182149983.3
597,92,124,25,7,3,0,30,170949464
621,82,40,20,5,4,0,30,182416476.9
607,95,62,3,8,4,100,17.85861673,183215957.6
618,90,142,20,3,3,0,30,169883489.7
624,83,102,14,5,5,0,30,194416476.9
578,98,134,20,5,5,0,30,194416476.9
576,81,52,11,6,4,0,30,182682970.4
625,85,93,24,7,7,0,30,218949464
596,85,120,4,3,3,0,30,169883489.7
605,80,138,14,10,5,0,30,195748944.7
603,90,142,20,3,3,0,30,169883489.7
618,90,87,13,9,7,100,16.008936,219482451.1
594,95,62,19,5,5,0,30,194416476.9
607,96,89,11,8,4,0,30,183215957.6
594,94,53,13,4,8,0,30,230149983.3
575,91,117,28,12,7,100,12.23997378,220281931.8
619,97,80,25,7,3,0,30,170949464
597,92,124,9,9,3,0,30,171482451.1
627,95,113,22,10,4,0,30,183748944.7
576,94,90,24,9,6,0,30,207482451.1
594,86,138,11,11,4,0,30,184015438.3
578,93,118,17,9,4,0,30,183482451.1
577,94,108,27,4,4,0,30,182149983.3
588,83,42,17,7,6,0,30,206949464
591,87,91,23,6,6,0,30,206682970.4
625,80,67,24,7,6,0,30,206949464
577,85,93,11,11,7,0,30,220015438.3
602,93,121,1,11,8,0,30,232015438.3
603,81,75,16,3,3,0,30,169883489.7
596,90,120,4,3,3,0,30,169883489.7
