Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost
628.0,96.0,72.0,21.0,9.0,3.0,100.0 %,16.31,171.48
626.0,91.0,81.0,5.0,12.0,3.0,100.0 %,16.04,172.28
600.0,97.0,115.0,18.0,10.0,4.0,100.0 %,15.39,183.75
628.0,96.0,75.0,21.0,9.0,5.0,100.0 %,14.27,195.48
596.0,97.0,138.0,4.0,10.0,5.0,100.0 %,13.68,195.75
625.0,93.0,129.0,25.0,11.0,5.0,100.0 %,13.59,196.02
600.0,96.0,129.0,11.0,10.0,6.0,100.0 %,12.69,207.75
623.0,96.0,40.0,13.0,11.0,6.0,100.0 %,11.39,208.02
611.0,96.0,109.0,19.0,11.0,8.0,100.0 %,11.35,232.02
594.0,96.0,89.0,11.0,11.0,10.0,100.0 %,11.28,256.02
630.0,96.0,141.0,8.0,11.0,11.0,100.0 %,11.01,268.02
581.0,97.0,51.0,7.0,12.0,11.0,100.0 %,10.38,268.28
599.0,97.0,76.0,29.0,12.0,12.0,100.0 %,10.16,280.28
