Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost,
0,0,599,94,135,27,7,6,100.0,0.904608,1.0,
0,1,605,88,33,0,5,4,93.97,7.65072,1.0,
0,2,604,92,33,26,6,1,98.64,4.3130880000000005,5.0,
0,3,596,90,42,4,4,3,99.86,2.182464,1.0,
0,4,589,89,67,28,4,3,99.96000000000001,1.988064,1.0,
0,5,618,94,42,19,6,5,100.0,1.578528,1.0,
0,6,588,88,45,23,6,5,100.0,2.455488,1.0,
0,7,598,89,90,16,7,3,99.92,1.4955839999999998,4.0,
0,8,580,87,57,9,10,9,99.86,0.5944320000000001,1.0,
0,9,614,92,143,27,10,4,99.92,1.242432,6.0,
0,10,618,92,116,6,5,3,100.0,1.737504,2.0,
0,11,578,92,79,21,5,2,98.48,2.736288,3.0,
0,12,627,91,100,28,7,1,99.11999999999999,4.180032,6.0,
0,13,612,90,137,4,9,6,99.96000000000001,0.9115200000000001,3.0,
0,14,603,93,37,6,5,3,99.96000000000001,1.626048,2.0,
0,15,629,89,37,6,3,2,99.16,3.9588479999999997,1.0,
0,16,589,94,128,22,4,3,99.67,2.193696,1.0,
0,17,612,92,123,28,9,3,99.81,1.560384,6.0,
0,18,602,94,86,16,6,3,99.79,1.620864,3.0,
0,19,585,92,116,21,11,2,97.94,2.978208,9.0,
0,20,577,87,30,5,6,1,98.97,6.2225280000000005,5.0,
0,21,599,89,111,5,7,2,98.33,3.169152,5.0,
0,22,588,92,133,19,11,8,99.97999999999999,0.653184,3.0,
0,23,621,91,112,3,11,1,95.86,4.556736,10.0,
0,24,619,90,47,25,5,2,99.77000000000001,3.3989759999999998,3.0,
0,25,579,90,121,25,3,1,98.13,4.929984,2.0,
0,26,624,88,40,26,4,1,95.99,5.191776,3.0,
0,27,592,87,121,1,5,2,99.55000000000001,3.4128,3.0,
0,28,617,91,55,8,5,3,99.79,1.702944,2.0,
0,29,599,88,88,13,7,5,99.97999999999999,1.201824,2.0,
0,30,620,88,43,8,5,1,97.88,4.947264,4.0,
0,31,623,89,32,23,10,5,100.0,1.3893119999999999,5.0,
0,32,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
0,33,591,92,92,25,11,5,100.0,1.441152,6.0,
0,34,616,90,136,7,5,3,99.03,2.591136,2.0,
0,35,621,91,53,7,9,5,97.24000000000001,1.741824,4.0,
0,36,609,90,104,24,6,4,100.0,2.579904,2.0,
0,37,606,88,135,14,11,3,94.67,3.076704,8.0,
0,38,589,89,139,21,6,3,98.66,2.884896,3.0,
0,39,592,92,125,25,4,3,99.75,2.08224,1.0,
0,40,594,88,57,23,11,3,99.59,2.8296,8.0,
0,41,586,93,99,1,7,1,99.07000000000001,4.3130880000000005,6.0,
0,42,614,92,76,1,3,2,99.24,3.031776,1.0,
0,43,608,88,36,12,5,3,99.88,3.6106559999999996,2.0,
0,44,601,88,121,21,7,3,99.97999999999999,2.86416,4.0,
0,45,611,90,76,7,11,2,98.25,2.528928,9.0,
0,46,581,92,50,17,9,7,100.0,0.768096,2.0,
0,47,615,91,95,29,6,1,98.87,5.793984,5.0,
0,48,612,94,49,17,7,5,99.92,1.014336,2.0,
0,49,584,90,57,29,4,1,98.74000000000001,4.561920000000001,3.0,
1,0,619,95,102,10,10,7,100.0,1.010016,3.0,
1,1,581,92,128,17,9,3,1.0,1.5448320000000002,6.0,
1,2,581,92,135,27,7,6,100.0,0.8303039999999999,1.0,
1,3,599,94,50,17,9,7,1.0,0.936576,2.0,
1,4,613,90,135,19,6,6,1.0,1.042848,0.0,
1,5,618,94,42,23,7,6,100.0,1.15344,1.0,
1,6,581,92,43,27,8,2,1.0,2.610144,6.0,
1,7,599,88,36,10,9,4,0.96,3.0836159999999997,5.0,
1,8,618,94,42,19,6,5,100.0,1.578528,1.0,
1,9,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,10,599,94,135,27,7,6,100.0,0.904608,1.0,
1,11,599,94,135,27,7,6,100.0,0.904608,1.0,
1,12,596,90,81,19,12,8,100.0,0.597888,4.0,
1,13,618,92,42,17,9,5,100.0,1.15344,4.0,
1,14,591,92,92,17,9,5,1.0,1.1733120000000001,4.0,
1,15,581,92,50,25,11,7,1.0,1.181952,4.0,
1,16,581,92,50,17,9,7,100.0,0.768096,2.0,
1,17,581,92,50,1,9,2,0.9900000000000001,2.844288,7.0,
1,18,581,92,50,16,9,7,100.0,1.1404800000000002,2.0,
1,19,581,92,50,17,9,7,100.0,0.768096,2.0,
1,20,615,87,102,14,9,7,1.0,0.651456,2.0,
1,21,627,90,50,17,9,6,1.0,0.9927360000000001,3.0,
1,22,603,93,102,6,10,6,100.0,0.870048,4.0,
1,23,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
1,24,581,88,41,22,9,6,0.9900000000000001,2.3803199999999998,3.0,
1,25,581,92,50,17,9,7,100.0,0.768096,2.0,
1,26,627,90,116,10,10,6,100.0,0.870912,4.0,
1,27,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,28,623,89,32,23,9,3,1.0,1.972512,6.0,
1,29,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,30,599,94,135,27,7,6,100.0,0.904608,1.0,
1,31,599,90,74,27,7,6,100.0,0.9054719999999999,1.0,
1,32,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,33,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,34,627,90,102,23,6,6,100.0,1.035936,0.0,
1,35,581,92,119,9,8,5,1.0,1.050624,3.0,
1,36,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,37,623,89,32,23,8,8,100.0,0.9866880000000001,0.0,
1,38,581,92,50,17,9,7,100.0,0.768096,2.0,
1,39,599,94,135,27,9,6,100.0,0.8899199999999999,3.0,
1,40,618,88,133,3,7,9,1.0,0.648864,2398.0,
1,41,599,92,135,27,5,3,1.0,2.117664,2.0,
1,42,581,92,50,17,9,7,100.0,0.768096,2.0,
1,43,599,94,135,27,7,6,100.0,0.904608,1.0,
1,44,581,92,50,17,9,7,100.0,0.768096,2.0,
1,45,609,95,92,20,11,4,0.9900000000000001,2.364768,7.0,
1,46,618,92,109,3,10,3,100.0,1.4679360000000001,7.0,
1,47,627,90,102,6,5,6,100.0,1.583712,1199.0,
1,48,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,49,627,90,84,13,10,6,1.0,1.13616,4.0,
2,0,579,92,50,10,12,7,100.0,0.8259839999999999,5.0,
2,1,581,90,81,17,9,7,0.33,0.6229439999999999,2.0,
2,2,581,92,50,17,9,7,100.0,0.768096,2.0,
2,3,609,90,81,19,5,2,0.33,2.409696,3.0,
2,4,596,92,50,17,12,7,100.0,0.675648,5.0,
2,5,581,90,81,19,9,8,100.0,0.582336,1.0,
2,6,581,92,50,17,9,7,100.0,0.768096,2.0,
2,7,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,8,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,9,596,90,81,19,12,8,100.0,0.597888,4.0,
2,10,581,90,81,17,9,8,0.33,0.546048,1.0,
