Per_Weight,Cost_Weight,Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Cost,
0.01,-0.99,0,0,616,88,95,2,9,4,99.05349794238683,13.0,
0.01,-0.99,0,1,628,90,47,24,3,3,94.97942386831276,6.0,
0.01,-0.99,0,2,607,87,33,12,4,2,85.74074074074076,6.0,
0.01,-0.99,0,3,588,91,36,4,11,8,99.1358024691358,19.0,
0.01,-0.99,0,4,618,94,107,27,3,3,97.65432098765432,6.0,
0.01,-0.99,0,5,613,92,101,18,9,5,99.38271604938271,14.0,
0.01,-0.99,0,6,586,88,75,10,10,6,99.1358024691358,16.0,
0.01,-0.99,0,7,576,91,120,23,8,8,99.58847736625513,16.0,
0.01,-0.99,0,8,600,89,53,15,3,3,98.84773662551441,6.0,
0.01,-0.99,0,9,587,93,104,16,3,3,95.59670781893004,6.0,
0.01,-0.99,0,10,578,91,40,27,8,6,99.38271604938271,14.0,
0.01,-0.99,0,11,584,92,73,4,9,7,99.79423868312757,16.0,
0.01,-0.99,0,12,617,87,42,26,10,10,99.42386831275721,20.0,
0.01,-0.99,0,13,586,94,61,0,8,2,88.55967078189302,10.0,
0.01,-0.99,0,14,629,92,122,13,4,4,98.08641975308643,8.0,
0.01,-0.99,0,15,615,89,36,22,6,1,83.20987654320986,7.0,
0.01,-0.99,0,16,617,88,138,8,3,3,96.6872427983539,6.0,
0.01,-0.99,0,17,590,88,51,16,3,3,94.32098765432096,6.0,
0.01,-0.99,0,18,603,87,97,20,9,3,97.38683127572016,12.0,
0.01,-0.99,0,19,626,94,56,8,10,9,99.8559670781893,19.0,
0.01,-0.99,0,20,612,94,114,17,8,2,95.80246913580245,10.0,
0.01,-0.99,0,21,604,93,127,9,5,4,98.62139917695472,8.999999999999998,
0.01,-0.99,0,22,592,89,49,7,7,7,99.69135802469134,14.0,
0.01,-0.99,0,23,626,87,140,7,9,2,96.23456790123454,11.0,
0.01,-0.99,0,24,628,88,77,14,3,3,98.18930041152264,6.0,
0.01,-0.99,1,0,580,90,73,23,9,7,99.77366255144032,16.0,
0.01,-0.99,1,1,596,95,57,8,10,9,99.11522633744856,19.0,
0.01,-0.99,1,2,576,94,56,23,10,9,99.8971193415638,19.0,
0.01,-0.99,1,3,626,91,120,8,8,8,99.69135802469134,16.0,
0.01,-0.99,1,4,626,94,56,7,7,9,99.73251028806582,4816.0,
0.01,-0.99,1,5,627,93,118,2,7,7,99.34156378600822,14.0,
0.01,-0.99,1,6,576,88,95,2,8,4,96.7283950617284,12.0,
0.01,-0.99,1,7,616,91,120,23,9,8,99.83539094650203,17.0,
0.01,-0.99,1,8,626,94,56,8,10,7,99.67078189300412,17.0,
0.01,-0.99,1,9,613,94,148,30,3,3,97.90123456790123,6.0,
0.01,-0.99,1,10,576,92,73,4,8,7,99.73251028806582,15.0,
0.01,-0.99,1,11,584,91,120,23,9,8,99.7119341563786,17.0,
0.01,-0.99,1,12,576,89,120,23,8,7,99.30041152263375,15.0,
0.01,-0.99,1,13,592,92,90,28,4,3,98.12757201646089,7.0,
0.01,-0.99,1,14,576,94,120,23,10,9,99.58847736625513,19.0,
0.01,-0.99,1,15,626,91,56,8,8,8,99.8559670781893,16.0,
0.01,-0.99,1,16,576,91,120,23,8,8,99.58847736625513,16.0,
0.01,-0.99,1,17,613,92,101,18,9,5,99.38271604938271,14.0,
0.01,-0.99,1,18,578,91,56,8,8,6,99.44444444444443,14.0,
0.01,-0.99,1,19,626,94,40,27,10,9,99.8559670781893,19.0,
0.01,-0.99,1,20,584,92,73,8,10,7,99.21810699588477,17.0,
0.01,-0.99,1,21,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,1,22,612,89,96,7,10,9,99.8559670781893,19.0,
0.01,-0.99,1,23,592,94,49,8,7,7,99.7736625514403,14.0,
0.01,-0.99,1,24,626,94,56,8,10,9,99.8559670781893,19.0,
0.01,-0.99,2,0,626,94,56,4,10,9,99.95884773662553,19.0,
0.01,-0.99,2,1,585,88,104,27,9,9,99.83539094650203,17.999999999999996,
0.01,-0.99,2,2,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,2,3,626,94,56,23,9,9,99.93827160493827,17.999999999999996,
0.01,-0.99,2,4,575,90,37,1,7,7,99.65020576131687,14.0,
0.01,-0.99,2,5,626,89,129,4,11,7,99.87654320987654,17.999999999999996,
0.01,-0.99,2,6,618,94,32,4,3,1,79.67078189300413,4.0,
0.01,-0.99,2,7,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,2,8,612,89,96,7,10,9,99.8559670781893,19.0,
0.01,-0.99,2,9,576,94,56,23,10,9,99.8971193415638,19.0,
0.01,-0.99,2,10,592,94,56,8,9,7,99.79423868312756,16.0,
0.01,-0.99,2,11,626,94,49,4,7,9,99.91769547325103,4816.0,
0.01,-0.99,2,12,576,94,56,23,10,9,99.8971193415638,19.0,
0.01,-0.99,2,13,598,88,150,12,7,7,98.68312757201646,14.0,
0.01,-0.99,2,14,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,2,15,585,94,83,18,9,7,99.83539094650206,16.0,
0.01,-0.99,2,16,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,2,17,626,94,35,30,5,5,95.37037037037037,10.0,
0.01,-0.99,2,18,626,94,56,23,9,9,99.93827160493827,17.999999999999996,
0.01,-0.99,2,19,609,87,148,23,11,10,99.75308641975307,21.0,
0.01,-0.99,2,20,626,94,40,27,10,9,99.8559670781893,19.0,
0.01,-0.99,2,21,613,94,147,8,6,6,99.67078189300412,12.0,
0.01,-0.99,2,22,628,92,56,30,10,4,95.53497942386832,14.0,
0.01,-0.99,2,23,576,94,56,23,10,9,99.8971193415638,19.0,
0.01,-0.99,2,24,626,91,56,8,8,8,99.8559670781893,16.0,
0.01,-0.99,3,0,588,92,66,7,9,8,99.8559670781893,17.0,
0.01,-0.99,3,1,626,94,147,4,10,9,100.0,19.0,
0.01,-0.99,3,2,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,3,602,95,144,5,6,6,99.77366255144032,12.0,
0.01,-0.99,3,4,626,94,56,4,10,9,99.95884773662553,19.0,
0.01,-0.99,3,5,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,6,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,7,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,8,598,92,127,27,9,9,99.79423868312757,17.999999999999996,
0.01,-0.99,3,9,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,10,603,94,83,23,4,4,98.31275720164608,8.0,
0.01,-0.99,3,11,598,87,112,26,3,3,94.71193415637859,6.0,
0.01,-0.99,3,12,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,13,626,94,56,4,10,9,99.95884773662553,19.0,
0.01,-0.99,3,14,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,15,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,16,621,95,46,15,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,17,598,93,44,7,12,3,88.62139917695472,15.0,
0.01,-0.99,3,18,598,94,147,4,10,9,99.97942386831276,19.0,
