Time,Satellite,Target,Bin
1338.653705726,2,11,216
1392.503449841,2,12,216
1398.0,2,11,216
1438.132207534,1,11,189
1452.0,2,12,225
1458.0,2,11,225
1484.920766698,1,12,189
1487.466680863,2,6,198
1498.0,1,11,189
1504.507395785,2,13,207
1512.0,2,12,234
1518.0,2,11,235
1544.0,1,12,198
1547.0,2,6,198
1558.0,1,11,189
1559.291936435,4,5,135
1564.0,2,13,216
1572.0,2,12,244
1578.0,2,11,244
1579.66920383,2,1,234
1604.0,1,12,198
1607.0,2,6,198
1618.0,1,11,199
1619.0,4,5,135
1619.112612811,4,4,108
1624.0,2,13,216
1632.0,2,12,253
1638.0,2,11,262
1639.0,2,1,234
1642.863506648,1,13,189
1657.606420499,1,6,180
1664.0,1,12,208
1667.0,2,6,199
1677.333835608,1,1,216
1678.0,1,11,209
1679.0,4,4,99
1679.0,4,5,126
1684.0,2,13,226
1692.0,2,12,271
1698.0,2,11,280
1699.0,2,1,243
1702.0,1,13,198
1717.0,1,6,180
1724.0,1,12,217
1727.0,2,6,200
1734.230791884,2,15,225
1737.0,1,1,216
1738.0,1,11,227
1739.0,4,4,90
1739.0,4,5,117
1744.0,2,13,236
1746.828655526,4,2,99
1752.0,2,12,280
1758.0,2,11,298
1759.0,2,1,253
1762.0,1,13,198
1777.0,1,6,180
1784.0,1,12,236
1787.0,2,6,202
1794.0,2,15,225
1796.020328768,4,14,81
1797.0,1,1,225
1798.0,1,11,255
1799.0,4,4,81
1799.0,4,5,100
1804.0,2,13,246
1806.0,4,2,90
1812.0,2,12,298
1818.0,2,11,307
1819.0,2,1,262
1822.0,1,13,208
1837.0,1,6,181
1844.0,1,12,254
1847.0,2,6,223
1854.0,2,15,234
1856.0,4,14,81
1857.0,1,1,234
1858.0,1,11,282
1859.0,4,5,91
1859.0,4,4,72
1864.0,2,13,273
1866.0,4,2,81
1872.0,2,12,316
1878.0,2,11,315
1879.0,2,1,280
1882.0,1,13,218
1885.001847252,6,7,99
1891.655935458,1,15,216
1897.0,1,6,182
1904.0,1,12,281
1907.0,2,6,24
1914.0,2,15,235
1916.0,4,14,72
1917.0,1,1,244
1918.0,1,11,299
1919.0,4,5,73
1919.0,4,4,63
1924.0,2,13,309
1926.0,4,2,72
1932.0,2,12,0
1938.0,2,11,0
1939.0,2,1,298
1939.073621213,10,3,234
1942.0,1,13,227
1945.0,6,7,108
1951.0,1,15,225
1957.0,1,6,193
1964.0,1,12,299
1967.0,2,6,30
1974.0,2,15,245
1976.0,4,14,63
1977.0,1,1,262
1978.0,1,11,307
1979.0,4,5,63
1979.0,4,4,54
1984.0,2,13,2
1986.0,4,2,63
1986.417285499,4,14,54
1992.0,2,12,0
1993.709235552,10,7,261
1998.0,2,11,9
1999.0,2,1,307
1999.0,10,3,234
2002.0,1,13,255
2005.0,6,7,108
2007.302822935,4,4,54
2011.0,1,15,225
2017.0,1,6,213
2021.355538494,2,8,216
2024.0,1,12,307
2027.0,2,6,29
2030.207308528,2,11,9
2034.0,2,15,255
2037.0,1,1,271
2038.0,1,11,316
2039.0,4,5,54
2044.0,2,13,10
2046.0,4,2,54
2052.0,2,12,9
2053.0,10,7,270
2057.138714516,6,3,135
2059.0,2,1,1
2059.0,10,3,234
2062.0,1,13,282
2065.0,6,7,109
2071.0,1,15,235
2073.92922598,2,12,9
2077.0,1,6,321
2081.0,2,8,216
2084.0,1,12,315
2087.0,2,6,28
2094.0,2,15,292
2095.353466619,4,2,54
2097.0,1,1,289
2098.0,1,11,315
